pitch,diatonicNumber,beat,duration,IPA,vowelCategory
D#5,37,2.0,0.75,'de,2
B4,35,2.75,0.25,ʊnt,2
F#5,39,1.0,0.75,'ra:I,0
E5,38,1.75,0.25,çə,1
C#5,36,2.0,0.75,'miʁ,2
C#5,36,2.75,0.25,stʊm,2
C5,36,1.0,0.5,'ap,0
B4,35,1.5,0.5,ʃit,2
C#5,36,2.0,0.5,'da:I,0
F#4,32,2.5,0.5,nə,1
F#5,39,1.0,0.5,'hant,0
G5,40,1.5,1.0,'hant,0
G5,40,2.5,0.5,stʊm,2
F#5,39,1.0,0.5,'ap,0
E5,38,1.5,0.25,ʃit,2
D5,37,1.75,0.25,ʃit,2
C#5,36,2.0,0.25,'da:I,0
E5,38,2.25,0.25,'da:I,0
D5,37,2.5,0.25,nə,1
C#5,36,2.75,0.25,nə,1
B4,35,1.0,1.0,'hant,0
