pitch,diatonicNumber,beat,duration,IPA,vowelCategory
C#5,36,3.75,0.25,sət,1
D5,37,1.0,1.0,'na:In,0
E5,38,3.75,0.25,di,2
D5,37,1.0,0.5,'ba:I,0
E5,38,1.5,0.5,den,2
F5,39,2.0,0.5,'vœɾt,0
E5,38,2.5,0.5,çen,2
D5,37,3.0,0.5,'ʃli,2
E5,38,3.5,0.25,sən,1
E5,38,3.75,0.25,di,2
D5,37,1.0,0.5,'gan,0
C5,36,1.5,0.5,tsə,1
B4,35,2.0,1.0,'vɛlt,0
A4,34,3.0,1.0,miɾ,2
G4,33,1.0,1.0,'a:In,0
E5,38,3.75,0.25,di,2
D5,37,1.0,0.5,'ba:I,0
E5,38,1.5,0.5,den,2
G5,40,2.0,0.25,'vœɾt,0
F5,39,2.25,0.25,'vœɾt,0
E5,38,2.5,0.5,çen,2
D5,37,3.0,0.5,'ʃli,2
F#5,39,3.5,0.25,sən,1
E5,38,3.75,0.25,di,2
D5,37,1.0,0.5,'gan,0
C5,36,1.5,0.5,tsə,1
B4,35,2.0,1.0,'vɛlt,0
A4,34,3.0,1.0,miɾ,2
G4,33,1.0,1.0,'a:In,0
F#4,32,3.5,0.5,o,2
B4,35,1.0,1.5,'bɛç,0
B4,35,2.5,0.5,la:In,0
A#4,34,3.0,0.5,'ma:I,0
B4,35,3.5,0.5,nəʁ,1
C#5,36,1.0,0.75,'li,2
A#4,34,1.75,0.25,'li,2
B4,35,2.0,1.0,be,2
C#5,36,3.5,0.5,vas,0
D5,37,1.0,1.5,'bIst,2
D5,37,2.5,0.5,du,2
F#5,39,3.0,1/3,'vʊn,2
E5,38,3.3333333333333335,1/3,'vʊn,2
D5,37,3.6666666666666665,1/3,deʁ,2
C#5,36,1.0,2.0,'lIç,2
F#4,32,3.5,0.5,vIls,2
B4,35,1.0,1.5,'ja,0
B4,35,2.5,0.5,nIçt,2
D#5,37,3.0,0.5,'va:I,0
D#5,37,3.5,0.5,təʁ,1
C#5,36,1.0,0.75,'za,0
A#4,34,1.75,0.25,'za,0
B4,35,2.0,1.0,gən,1
B#4,35,3.0,1.0,zak,0
C#5,36,1.0,0.25,'bɛç,0
E5,38,1.25,0.25,'bɛç,0
D#5,37,1.5,0.25,la:In,0
C#5,36,1.75,0.25,la:In,0
B4,35,2.0,1.0,'lipt,2
F#5,39,3.0,0.75,'lipt,2
E5,38,3.75,0.25,zi,2
D#5,37,1.0,2.0,'mIç,2
B#4,35,3.0,1.0,zak,0
C#5,36,1.0,0.25,'bɛç,0
E5,38,1.25,0.25,'bɛç,0
D#5,37,1.5,0.25,la:In,0
C#5,36,1.75,0.25,la:In,0
A#4,34,2.0,1.0,'lipt,2
C#5,36,3.0,0.75,'lipt,2
B4,35,3.75,0.25,zi,2
B4,35,1.0,1.0,'mIç,2
